ParticipantID,TrialNum,Vis,TruePercent,ReportedPercent,Error
P10,21,stacked,41,30,3.4757334309663976
P10,22,donut,44,40,2.0443941193584534
P10,23,stacked,87,90,1.6438561897747246
P10,24,stacked,11,5,2.6147098441152083
P10,25,donut,29,30,0.16992500144231237
P10,26,stacked,46,30,4.011227255423254
P10,27,bar,78,80,1.0874628412503393
P10,28,stacked,48,40,3.0223678130284544
P10,29,donut,22,20,1.0874628412503393
P10,30,stacked,42,20,4.467605550082998
P10,31,bar,99,99,0.0
P10,32,bar,39,30,3.189824558880017
P10,33,stacked,64,40,4.592457037268081
P10,34,bar,35,20,3.9188632372745946
P10,35,bar,44,40,2.0443941193584534
P10,36,donut,40,20,4.330916878114617
P10,37,bar,15,10,2.357552004618084
P10,38,stacked,43,20,4.531381460516312
P10,39,donut,67,60,2.8328900141647417
P10,40,bar,27,40,3.7142455176661224
P10,41,donut,28,10,4.1799090900149345
P10,42,stacked,30,30,0.0
P10,43,bar,90,90,0.0
P10,44,stacked,97,100,1.6438561897747246
P10,45,donut,91,100,3.189824558880017
P10,46,bar,44,40,2.0443941193584534
P10,47,bar,73,80,2.8328900141647417
P10,48,donut,21,20,0.16992500144231237
P10,49,donut,36,25,3.4757334309663976
P10,50,stacked,38,30,3.0223678130284544
P10,51,donut,93,90,1.6438561897747246
P10,52,bar,90,85,2.357552004618084
P10,53,donut,97,90,2.8328900141647417
P10,54,donut,96,90,2.6147098441152083
P10,55,donut,59,50,3.189824558880017
P10,56,stacked,58,50,3.0223678130284544
P10,57,bar,98,99,0.16992500144231237
P10,58,donut,21,20,0.16992500144231237
P10,59,stacked,41,30,3.4757334309663976
P10,60,bar,51,50,0.16992500144231237
